Date : 2019-09-22 17:53:04
Directory : d:\CodeHome\LUA\Galactiforge\code
Total : 131 files,  7316 codes, 884 comments, 1654 blanks, all 9854 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Lua        |        107 |      5,730 |        669 |      1,300 |      7,699 |
| JSON       |          7 |        555 |          0 |          5 |        560 |
| Markdown   |          6 |        426 |          0 |        165 |        591 |
| Makefile   |          3 |        172 |          6 |         40 |        218 |
| XML        |          2 |        162 |          2 |          4 |        168 |
| JavaScript |          1 |        162 |         16 |         41 |        219 |
| YAML       |          2 |         51 |         11 |         17 |         79 |
| Python     |          1 |         41 |        178 |         75 |        294 |
| Properties |          1 |         13 |          2 |          6 |         21 |
| Ignore     |          1 |          4 |          0 |          1 |          5 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                   |        131 |      7,316 |        884 |      1,654 |      9,854 |
| lib                                                                 |         73 |      5,607 |        859 |      1,393 |      7,859 |
| lib\lovetoys                                                        |         54 |      2,510 |        129 |        660 |      3,299 |
| src                                                                 |         58 |      1,709 |         25 |        261 |      1,995 |
| lib\hump                                                            |         13 |      1,358 |        276 |        389 |      2,023 |
| src\systems                                                         |         22 |        816 |         20 |        202 |      1,038 |
| lib\lovetoys\spec                                                   |          7 |        777 |         24 |        189 |        990 |
| src\configs                                                         |          7 |        555 |          0 |          5 |        560 |
| lib\lovetoys\src                                                    |          9 |        526 |         64 |        103 |        693 |
| lib\lovetoys\example                                                |         25 |        407 |         31 |        132 |        570 |
| src\systems\grids                                                   |          9 |        395 |          9 |        105 |        509 |
| lib\hump\docs                                                       |          3 |        359 |        200 |        147 |        706 |
| src\components                                                      |         23 |        264 |          2 |         43 |        309 |
| src\systems\event                                                   |          5 |        223 |          5 |         53 |        281 |
| lib\lovetoys\example\systems                                        |         10 |        210 |          3 |         61 |        274 |
| lib\hump\docs\_static                                               |          1 |        162 |         16 |         41 |        219 |
| lib\lovetoys\lib                                                    |          1 |        152 |          0 |         31 |        183 |
| src\systems\graphic                                                 |          6 |        145 |          0 |         35 |        180 |
| src\components\objects                                              |         10 |        130 |          2 |         22 |        154 |
| src\components\objects\grids                                        |          8 |         95 |          2 |         19 |        116 |
| src\components\graphic                                              |          5 |         82 |          0 |          7 |         89 |
| lib\lovetoys\example\systems\test                                   |          2 |         72 |          0 |         23 |         95 |
| lib\hump\spec                                                       |          1 |         55 |          0 |         19 |         74 |
| src\systems\physics                                                 |          2 |         53 |          6 |          9 |         68 |
| lib\lovetoys\example\systems\event                                  |          1 |         46 |          0 |          9 |         55 |
| lib\lovetoys\example\components                                     |          8 |         43 |          0 |         16 |         59 |
| lib\lovetoys\perf                                                   |          1 |         40 |          0 |         20 |         60 |
| lib\lovetoys\example\systems\graphic                                |          3 |         37 |          0 |         12 |         49 |
| src\components\physics                                              |          4 |         34 |          0 |          9 |         43 |
| lib\lovetoys\example\systems\particle                               |          2 |         34 |          1 |          8 |         43 |
| src\events                                                          |          5 |         28 |          0 |          5 |         33 |
| lib\lovetoys\src\events                                             |          2 |         28 |          2 |         10 |         40 |
| lib\lovetoys\example\systems\logic                                  |          2 |         21 |          2 |          9 |         32 |
| lib\lovetoys\example\components\graphic                             |          2 |         16 |          0 |          4 |         20 |
| lib\lovetoys\example\events                                         |          2 |         11 |          0 |          3 |         14 |
| lib\lovetoys\example\components\physic                              |          2 |         11 |          0 |          4 |         15 |
| lib\lovetoys\example\components\particle                            |          2 |          9 |          0 |          4 |         13 |
| src\components\properties                                           |          2 |          9 |          0 |          2 |         11 |
| src\components\controllers                                          |          2 |          9 |          0 |          3 |         12 |
| src\components\objects\ammunition                                   |          1 |          7 |          0 |          1 |          8 |
| lib\lovetoys\example\components\logic                               |          1 |          4 |          0 |          2 |          6 |
| lib\lovetoys\example\components\identifier                          |          1 |          3 |          0 |          2 |          5 |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                            | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| lib\classic.lua                                                     | Lua        |         44 |          8 |         16 |         68 |
| lib\complex.lua                                                     | Lua        |        272 |         93 |         58 |        423 |
| lib\hump\.travis.yml                                                | YAML       |         20 |         11 |          8 |         39 |
| lib\hump\README.md                                                  | Markdown   |         41 |          0 |          8 |         49 |
| lib\hump\camera.lua                                                 | Lua        |        166 |         12 |         39 |        217 |
| lib\hump\class.lua                                                  | Lua        |         74 |          9 |         16 |         99 |
| lib\hump\docs\Makefile                                              | Makefile   |        156 |          6 |         31 |        193 |
| lib\hump\docs\_static\graph-tweens.js                               | JavaScript |        162 |         16 |         41 |        219 |
| lib\hump\docs\conf.py                                               | Python     |         41 |        178 |         75 |        294 |
| lib\hump\gamestate.lua                                              | Lua        |         83 |         11 |         20 |        114 |
| lib\hump\signal.lua                                                 | Lua        |         81 |          4 |         18 |        103 |
| lib\hump\spec\timer_spec.lua                                        | Lua        |         55 |          0 |         19 |         74 |
| lib\hump\timer.lua                                                  | Lua        |        165 |         18 |         33 |        216 |
| lib\hump\vector-light.lua                                           | Lua        |        143 |          6 |         38 |        187 |
| lib\hump\vector.lua                                                 | Lua        |        171 |          5 |         43 |        219 |
| lib\json.lua                                                        | Lua        |        294 |         45 |         62 |        401 |
| lib\lovetoys\.editorconfig                                          | Properties |         13 |          2 |          6 |         21 |
| lib\lovetoys\.gitignore                                             | Ignore     |          4 |          0 |          1 |          5 |
| lib\lovetoys\.travis.yml                                            | YAML       |         31 |          0 |          9 |         40 |
| lib\lovetoys\CHANGELOG.md                                           | Markdown   |         14 |          0 |          5 |         19 |
| lib\lovetoys\LICENSE.md                                             | Markdown   |         17 |          0 |          5 |         22 |
| lib\lovetoys\Makefile                                               | Makefile   |          8 |          0 |          5 |         13 |
| lib\lovetoys\README.md                                              | Markdown   |        317 |          0 |        134 |        451 |
| lib\lovetoys\example\LICENSE.md                                     | Markdown   |         17 |          0 |          5 |         22 |
| lib\lovetoys\example\Makefile                                       | Makefile   |          8 |          0 |          4 |         12 |
| lib\lovetoys\example\README.md                                      | Markdown   |         20 |          0 |          8 |         28 |
| lib\lovetoys\example\components\graphic\Drawable.lua                | Lua        |          9 |          0 |          2 |         11 |
| lib\lovetoys\example\components\graphic\DrawablePolygon.lua         | Lua        |          7 |          0 |          2 |          9 |
| lib\lovetoys\example\components\identifier\IsCircle.lua             | Lua        |          3 |          0 |          2 |          5 |
| lib\lovetoys\example\components\logic\Timing.lua                    | Lua        |          4 |          0 |          2 |          6 |
| lib\lovetoys\example\components\particle\Particle.lua               | Lua        |          4 |          0 |          2 |          6 |
| lib\lovetoys\example\components\particle\ParticleTimerComponent.lua | Lua        |          5 |          0 |          2 |          7 |
| lib\lovetoys\example\components\physic\Physic.lua                   | Lua        |          6 |          0 |          2 |          8 |
| lib\lovetoys\example\components\physic\Position.lua                 | Lua        |          5 |          0 |          2 |          7 |
| lib\lovetoys\example\conf.lua                                       | Lua        |         22 |          0 |          2 |         24 |
| lib\lovetoys\example\events\KeyPressed.lua                          | Lua        |          5 |          0 |          2 |          7 |
| lib\lovetoys\example\events\MousePressed.lua                        | Lua        |          6 |          0 |          1 |          7 |
| lib\lovetoys\example\main.lua                                       | Lua        |         76 |         28 |         33 |        137 |
| lib\lovetoys\example\systems\event\MainKeySystem.lua                | Lua        |         46 |          0 |          9 |         55 |
| lib\lovetoys\example\systems\graphic\CircleDrawSystem.lua           | Lua        |         12 |          0 |          4 |         16 |
| lib\lovetoys\example\systems\graphic\PolygonDrawSystem.lua          | Lua        |         12 |          0 |          4 |         16 |
| lib\lovetoys\example\systems\graphic\TimeDrawSystem.lua             | Lua        |         13 |          0 |          4 |         17 |
| lib\lovetoys\example\systems\logic\PhysicsPositionSyncSystem.lua    | Lua        |         11 |          2 |          4 |         17 |
| lib\lovetoys\example\systems\logic\TimerSystem.lua                  | Lua        |         10 |          0 |          5 |         15 |
| lib\lovetoys\example\systems\particle\ParticleDrawSystem.lua        | Lua        |         12 |          0 |          4 |         16 |
| lib\lovetoys\example\systems\particle\ParticleUpdateSystem.lua      | Lua        |         22 |          1 |          4 |         27 |
| lib\lovetoys\example\systems\test\MultipleRequirementsSystem.lua    | Lua        |         27 |          0 |         10 |         37 |
| lib\lovetoys\example\systems\test\TestSystem.lua                    | Lua        |         45 |          0 |         13 |         58 |
| lib\lovetoys\init.lua                                               | Lua        |         38 |          5 |         12 |         55 |
| lib\lovetoys\lib\middleclass.lua                                    | Lua        |        152 |          0 |         31 |        183 |
| lib\lovetoys\logo.svg                                               | XML        |         81 |          1 |          2 |         84 |
| lib\lovetoys\logo_small.svg                                         | XML        |         81 |          1 |          2 |         84 |
| lib\lovetoys\lovetoys.lua                                           | Lua        |          4 |          1 |          4 |          9 |
| lib\lovetoys\perf\base.lua                                          | Lua        |         40 |          0 |         20 |         60 |
| lib\lovetoys\spec\component_spec.lua                                | Lua        |         24 |          0 |          6 |         30 |
| lib\lovetoys\spec\config_spec.lua                                   | Lua        |         51 |          0 |          8 |         59 |
| lib\lovetoys\spec\engine_entity_spec.lua                            | Lua        |        222 |          5 |         50 |        277 |
| lib\lovetoys\spec\engine_system_spec.lua                            | Lua        |        209 |          7 |         54 |        270 |
| lib\lovetoys\spec\entity_spec.lua                                   | Lua        |        101 |          1 |         19 |        121 |
| lib\lovetoys\spec\eventManager_spec.lua                             | Lua        |         78 |          9 |         24 |        111 |
| lib\lovetoys\spec\system_spec.lua                                   | Lua        |         92 |          2 |         28 |        122 |
| lib\lovetoys\src\Component.lua                                      | Lua        |         28 |          7 |         11 |         46 |
